1,2,9.09090909090909
1,5,4
1,6,4
1,8,4
2,3,9.09090909090909
2,15,4
2,21,2
2,22,2
3,14,2
3,17,2
3,19,2
3,20,2
3,21,2
3,22,2
3,23,4
3,24,4
4,5,4
4,6,4
6,10,2
7,11,6
7,16,6
8,9,2
10,12,2
12,13,4
14,15,2
14,17,2
14,18,2
15,17,4
16,17,6
19,20,2
19,24,2
20,21,2
22,23,4
24,25,2
26,27,4
26,28,4
27,28,2
29,8,4
30,8,1
30,9,0.954545454545455
31,5,2
31,9,1.31818181818182
32,1,9.09090909090909
33,4,1
33,5,1
33,6,1
34,6,2.27272727272727
34,7,2.27272727272727
35,13,6
36,14,2
36,15,2.59090909090909
37,2,2
38,20,3.18181818181818
38,21,5
38,22,4
39,14,0.318181818181818
39,17,1
40,17,1
40,18,0.318181818181818
41,11,6
41,16,12
41,17,3.59090909090909
41,19,3.59090909090909
41,25,6
42,3,4
43,23,1.31818181818182
44,24,1.59090909090909
44,25,1.59090909090909
45,27,2
45,28,0.954545454545455
44,26,4
